cpv_code;cpv_description;total_tenders
18530000-3;Prezenty i nagrody;10
19500000-1;Guma i tworzywa sztuczne;10
22420000-0;Papier ze znakiem wodnym;10
22800000-8;Rejestry, księgi rachunkowe, skoroszyty, formularze i inne wyroby piśmiennicze z papieru lub tektury;10
22850000-3;Skoroszyty i podobne wyroby;10
24311120-4;Węgliki;10
24315600-1;Krzemiany;10
24327000-2;Różne organiczne substancje chemiczne;10
24600000-0;Materiały wybuchowe;10
24954100-7;Nowy węgiel aktywny;10
24957200-9;Dodatki do cementów, zapraw lub zbrojeń;10
30192320-0;Taśmy do drukarek;10
30196100-0;Kalendarze do planowania spotkań;10
30199500-5;Segregatory, pudełka na listy, pudełka do przechowywania i podobne wyroby;10
30231200-9;Konsole;10
30237475-9;Czujniki elektryczne;10
31411000-0;Baterie alkaliczne;10
31522000-1;Lampki choinkowe;10
31711300-6;Elektroniczne systemy rejestrowania czasu;10
32252000-4;Telefony GSM;10
32324300-3;Urządzenia telewizyjne;10
32531000-4;Urządzenia łączności satelitarnej;10
32562300-3;Światłowodowe kable do przesyłu danych;10
33124210-0;Wyroby radiodiagnostyczne;10
33171200-1;Przyrządy do resuscytacji;10
33171300-2;Zestawy do znieczuleń miejscowych;10
33185000-0;Aparaty słuchowe;10
33193120-6;Wózki inwalidzkie;10
33196100-1;Sprzęt dla osób starszych;10
33615100-5;Insulina;10
33631400-6;Antybiotyki i środki chemoterapeutyczne do użytku dermatologicznego;10
33741100-7;Środek do mycia rąk;10
33741300-9;Środek odkażający do rąk;10
33922000-9;Worki do przewozu zwłok;10
34923000-3;Sprzęt do kontroli ruchu drogowego;10
34992000-7;Znaki i znaki podświetlone;10
35111320-4;Gaśnice przenośne;10
35113300-2;Instalacje bezpieczeństwa;10
35121300-1;Osprzęt bezpieczeństwa;10
35814000-3;Maski przeciwgazowe;10
37472000-7;Sprzęt do bowlingu;10
37524200-9;Gry planszowe;10
38126300-7;Aparatura do obserwacji powierzchniowej temperatury lub wilgotności;10
38428000-1;Reometry;10
38511000-0;Mikroskopy elektronowe;10
38511100-1;Skanujące mikroskopy elektronowe;10
38570000-1;Przyrządy i aparatura nastawcza i kontrolna;10
38931000-0;Testery temperatury i wilgotności;10
39151100-6;Stojaki;10
39221200-9;Zastawa stołowa;10
39525000-8;Różne wyroby włókiennicze z tworzyw sztucznych;10
39712200-8;Urządzenia fryzjerskie;10
39713210-8;Pralki i suszarki;10
39715210-2;Urządzenia centralnego ogrzewania;10
42111100-1;Silniki zewnętrzne do napędzania łodzi;10
42163000-9;Generatory pary;10
42674000-1;Części i akcesoria do obrabiarek do obróbki metalu;10
43315000-4;Maszyny do zagęszczania gruntu;10
43327000-1;Sprzęt z gotowych elementów;10
43830000-0;Narzędzia ręczne z napędem mechanicznym;10
44113900-4;Materiały do konserwacji nawierzchni drogowych;10
44163160-9;Przesyłowe przewody rurowe i akcesoria;10
44212000-9;Wyroby konstrukcyjne i części, z wyjątkiem budynków z gotowych elementów;10
44212383-7;Zapory;10
44300000-3;Kabel, drut i podobne wyroby;10
44611410-3;Zbiorniki do przechowywania oleju;10
45211370-3;Roboty budowlane w zakresie saun;10
45212230-7;Instalowanie szatni;10
45214610-9;Roboty budowlane w zakresie budynków laboratoryjnych;10
45223600-2;Roboty budowlane w zakresie psiarni;10
45231112-3;Instalacja rurociągów;10
45237000-7;Roboty budowlane w zakresie scen;10
45242110-9;Budowa obiektów do wodowania;10
45244200-1;Mola;10
45261400-8;Pokrywanie;10
45262000-1;Specjalne roboty budowlane inne niż dachowe;10
45351000-2;Mechaniczne instalacje inżynieryjne;10
45421141-4;Instalowanie przegród;10
48100000-9;Przemysłowe specyficzne pakiety oprogramowania;10
48214000-1;Pakiety oprogramowania do sieciowego systemu operacyjnego;10
48440000-4;Pakiety oprogramowania do analizy finansowej i rachunkowości/księgowości;10
48451000-4;Pakiety oprogramowania do planowania zasobów przedsiębiorstwa;10
50324200-4;Zapobiegawcze usługi konserwacyjne;10
51112100-1;Usługi instalowania sprzętu do przesyłu energii elektrycznej;10
55130000-0;Inne usługi hotelarskie;10
65111000-4;Przesył wody pitnej;10
71322100-2;Usługi pomiaru ilości w zakresie inżynierii lądowej i wodnej;10
71632000-7;Techniczne usługi badawcze;10
72240000-9;Usługi analizy systemu i programowania;10
72253000-3;Usługi pomocy komputerowej i podobne;10
72267100-0;Konserwacja oprogramowania technologii informacji;10
72511000-0;Usługi zarządzania oprogramowaniem sieciowym;10
72600000-6;Usługi doradcze i dodatkowe w zakresie sprzętu komputerowego;10
79130000-4;Usługi prawne w zakresie dokumentów oraz uwierzytelniania;10
79900000-3;Różne usługi branżowe i podobne;10
79961200-0;Usługi fotografii lotniczej;10
85144100-1;Usługi ośrodków opiekuńczych zapewniających zakwaterowanie;10
90922000-6;Usługi zwalczania szkodników;10
90924000-0;Usługi usuwania grzybów;10
92130000-1;Usługi projekcji filmów;10
98200000-5;Usługi konsultacyjne dotyczące zapewniania równych szans;10
98395000-8;Usługi ślusarskie;10
03325000-3;Małe zwierzęta;9
09200000-1;Ropa naftowa, węgiel i produkty naftowe;9
09240000-3;Produkty pochodne ropy i węgla;9
14320000-0;Minerały chemiczne;9
15210000-3;Filety rybne, wątróbki rybne i ikra;9
15614100-6;Ryż długoziarnisty;9
15830000-5;Cukier i produkty pokrewne;9
15891000-0;Zupy i buliony;9
18420000-9;Dodatki odzieżowe;9
18813000-1;Obuwie z cholewkami ze skóry;9
18820000-3;Obuwie sportowe;9
30163100-0;Karty na zakup paliwa;9
30231000-7;Ekrany i konsole komputerowe;9
31121200-2;Zestawy prądnicowe z silnikiem spalinowym o zapłonie iskrowym;9
31223000-5;Oprawy do lamp;9
31224500-7;Terminale;9
31711154-0;Baterie kondensatorów;9
31711421-0;Magnetrony;9
32342412-3;Głośniki;9
32352100-6;Części sprzętu radiowego i radarowego;9
32412100-5;Sieć telekomunikacyjna;9
32441000-6;Sprzęt telemetryczny;9
32573000-0;Komunikacyjny system sterowania;9
33111640-9;Termografy;9
33121300-7;Elektromiografy;9
33131100-8;Przyrządy chirurgii stomatologicznej;9
33141113-4;Bandaże;9
33184500-8;Endoprotezy naczyń wieńcowych;9
33711500-2;Produkty do pielęgnacji skóry;9
34113200-4;Samochody poruszające się po każdej nawierzchni;9
34422000-7;Rowery z silnikiem;9
34521300-8;Policyjne łodzie patrolowe;9
34522000-2;Łodzie rekreacyjne i sportowe;9
34928220-6;Elementy ogrodzeń;9
34928400-2;Osprzęt miejski;9
37451000-4;Sprzęt do sportów uprawianych na boiskach;9
38200000-7;Przyrządy geologiczne i geofizyczne;9
38425800-8;Densytometry;9
38433200-1;Sprzęt do pomiaru emisji;9
38810000-6;Urządzenia sterujące procesem przemysłowym;9
38950000-9;Łańcuchowa reakcja polimeryzacji katalizowana przez polimerazę (PCR;9
39370000-6;Instalacje wodne;9
39515000-5;Zasłony, draperie, lambrekiny oraz rolety tekstylne;9
39515100-6;Zasłony;9
39713300-6;Zgniatarki do odpadów;9
39721310-8;Ogrzewacze powietrza;9
39831700-3;Automatyczne dozowniki mydła;9
42112300-0;Turbiny gazowe;9
42123300-0;Sprężarki do urządzeń chłodzących;9
42214000-9;Piece kuchenne, suszarki do produktów rolnych oraz urządzenia do gotowania lub podgrzewania;9
42413000-4;Podnośniki i wciągniki do pojazdów mechanicznych;9
42416120-2;Windy towarowe;9
42716110-2;Urządzenia piorące;9
42912350-0;Urządzenia zakładu oczyszczania;9
42943500-3;Chłodnice z obiegiem;9
43134100-2;Pompy zanurzeniowe;9
43322000-6;Urządzenia do demontażu;9
44144000-1;Słupy;9
44315100-2;Akcesoria spawalnicze;9
44470000-5;Wyroby z żeliwa;9
44612000-3;Pojemniki na gaz skroplony;9
44621210-4;Wodne kotły grzewcze;9
45213300-6;Obiekty budowlane związane z transportem;9
45213312-3;Roboty budowlane w zakresie budynków parkingowych;9
45215300-0;Roboty budowlane w zakresie krematoriów;9
45223320-5;Roboty budowlane w zakresie obiektów typu parkuj i jedź;9
45223820-0;Gotowe elementy i części składowe;9
45232330-4;Wznoszenie masztów antenowych;9
45251100-2;Roboty budowlane w zakresie budowy elektrowni;9
45262200-3;Fundamentowanie i wiercenie studni wodnych;9
45262510-9;Roboty kamieniarskie;9
45316212-4;Instalowanie świateł ruchu drogowego;9
45432110-8;Kładzenie podłóg;9
48320000-7;Pakiety oprogramowania do rysowania i odwzorowywania;9
50111100-7;Zarządzanie flotą pojazdów;9
50211200-9;Usługi w zakresie napraw statków powietrznych;9
50343000-1;Usługi w zakresie napraw i konserwacji urządzeń wideo;9
50411100-0;Usługi w zakresie napraw i konserwacji wodomierzy;9
50740000-4;Usługi w zakresie napraw i konserwacji podnośników;9
50880000-7;Usługi w zakresie napraw i konserwacji wyposażenia hotelowego i restauracyjnego;9
51211000-4;Usługi instalowania urządzeń do pomiaru czasu;9
51540000-9;Usługi instalowania maszyn i urządzeń specjalnego zastosowania;9
55310000-6;Restauracyjne usługi kelnerskie;9
60653000-0;Wynajem łodzi wraz z załogą;9
63515000-2;Usługi podróżne;9
64228100-1;Usługi transmisji sygnału telewizyjnego;9
65320000-2;Eksploatacja instalacji elektrycznych;9
71311000-1;Usługi doradcze w zakresie inżynierii lądowej i wodnej;9
71312000-8;Usługi doradcze w zakresie inżynierii konstrukcyjnej;9
71313400-9;Ocena wpływu projektu budowlanego na środowisko naturalne;9
71510000-6;Usługi badania terenu;9
72420000-0;Usługi w zakresie rozwijania internetu;9
79341100-7;Doradcze usługi reklamowe;9
79624000-4;Usługi w zakresie pozyskiwania personelu pielęgniarskiego;9
85121231-1;Usługi kardiologiczne;9
85146000-4;Usługi świadczone przez banki krwi;9
90513900-5;Usługi likwidacji osadów;9
90531000-8;Usługi zarządzania wysypiskami;9
90715000-2;Usługi badania zanieczyszczenia;9
90722000-4;Rekultywacja środowiska;9
92111000-2;Usługi produkcji filmów kinowych i wideo;9
92312212-0;Usługi przygotowania podręczników szkoleniowych;9
92312230-2;Usługi świadczone przez rzeźbiarzy;9
92312240-5;Usługi świadczone przez animatorów kultury;9
92520000-2;Usługi świadczone przez muzea i w zakresie ochrony obiektów i budynków zabytkowych;9
92522200-8;Usługi ochrony budynków historycznych;9
98341000-5;Usługi miejsc noclegowych;9
98396000-5;Usługi strojenia instrumentów;9
03322300-5;Konie;8
03419000-0;Drewno cięte;8
09121000-3;Gaz węglowy, gaz zasilający/sieciowy lub podobne gazy;8
14311000-4;Wapń naturalny, wapniowy fosforan glinu oraz surowe naturalne sole potasowe;8
14420000-1;Sól morska;8
14430000-4;Sól warzona i czysty chlorek sodu;8
15119600-1;Mięso z ryb;8
15211000-0;Filety rybne;8
15321000-4;Soki owocowe;8
15712000-2;Susz paszowy;8
15891400-4;Zupy;8
15994200-4;Bibuła filtracyjna;8
16300000-8;Maszyny żniwne;8
18810000-0;Obuwie inne niż sportowe oraz ochronne;8
19521000-4;Produkty z polistyrenu;8
22111000-1;Podręczniki szkolne;8
22130000-0;Spisy;8
22459100-3;Nalepki i taśmy reklamowe;8
22852100-8;Okładki na akta;8
30132000-3;Maszyny sortujące;8
30211100-2;Superkomputery;8
30237110-3;Interfejsy sieciowe;8
30237300-2;Wyroby komputerowe;8
31122100-8;Komórki paliwowe;8
31156000-4;Przestojowe źródła energii;8
31220000-4;Elementy składowe obwodów elektrycznych;8
31224100-3;Wtyki i gniazda;8
31682500-5;Awaryjny sprzęt elektryczny;8
31712348-1;Diody laserowe;8
32333000-6;Aparatura do nagrywania lub powielania obrazu wideo;8
32344200-8;Odbiorniki radiowe;8
32354500-4;Filmy wideo;8
32429000-6;Sprzęt sieci telefonicznej;8
32552110-1;Telefony bezprzewodowe;8
32552310-3;Cyfrowe centrale telefoniczne;8
33141128-3;Igły do szycia;8
33141321-6;Igły do znieczulania;8
33141614-7;Pojemniki na osocze krwi;8
33156000-8;Przyrządy do testów psychologicznych;8
33163000-0;Namioty do użytku medycznego;8
33182240-3;Części i akcesoria do rozruszników serca;8
33186200-9;Urządzenia do ogrzewania krwi i płynów;8
33192110-6;Łóżka ortopedyczne;8
33195200-5;Centralna jednostka monitorująca;8
33651500-3;Surowice odpornościowe oraz immunoglobuliny;8
33696700-2;Odczynniki urologiczne;8
33721000-0;Golarki;8
33741000-6;Produkty do pielęgnacji rąk;8
34133100-9;Cysterny;8
34221100-3;Wozy pomocy drogowej;8
34223340-1;Cysterny naczepowe;8
34711100-5;Samoloty;8
34900000-6;Różny sprzęt transportowy i części zapasowe;8
34912100-4;Wózki popychane;8
34951000-8;Platformy wejściowe;8
38416000-4;PH-metry;8
38434530-0;Analizatory mleka;8
38436500-5;Mieszadła mechaniczne;8
38632000-4;Noktowizory;8
38636110-6;Lasery przemysłowe;8
39134000-0;Meble komputerowe;8
39152000-2;Biblioteczki przesuwne;8
39541200-8;Siatki włókiennicze;8
39721300-5;Ogrzewacze powietrza lub powietrza inne niż elektryczne;8
39832000-3;Produkty do zmywania naczyń;8
42122400-4;Pompy wirowe i podnośniki cieczy;8
42162000-2;Kotły grzewcze wytwarzające parę;8
42414400-5;Dźwigi do pojazdów mechanicznych;8
42418200-1;Kolej jednoszynowa lub wyciągi narciarskie;8
42513290-4;Przemysłowe urządzenia chłodnicze;8
42514200-4;Elektrostatyczne urządzenia do oczyszczania powietrza i gazu;8
42912000-2;Maszyny i aparatura do filtrowania lub oczyszczania cieczy;8
42921000-8;Maszyny do czyszczenia, napełniania, pakowania zbiorczego lub jednostkowego butelek, lub innych pojemników;8
42960000-3;System sterowania i kontroli, sprzęt drukujący, graficzny, automatyzujący prace biurowe i przetwarzający informacje;8
42996600-0;Urządzenia natleniające;8
42996900-3;Urządzenia do obróbki osadów;8
43810000-4;Urządzenia do obróbki drewna;8
44111600-7;Bloki;8
44112400-2;Dach;8
44113910-7;Materiały do konserwacji nawierzchni w sezonie zimowym;8
44212200-1;Wieże, maszty kratowe, półmaszty i słupy stalowe;8
44313000-7;Siatka metalowa;8
44313100-8;Siatka druciana ogrodzeniowa;8
44411200-6;Wanny;8
44421720-0;Skrytki;8
44480000-8;Różny sprzęt gaśniczy;8
45111213-4;Roboty w zakresie oczyszczania terenu;8
45112210-0;Usuwanie wierzchniej warstwy gleby;8
45212310-2;Roboty budowlane w zakresie budowy wystaw;8
45236200-2;Wyrównywanie nawierzchni obiektów sportowych;8
45259000-7;Usługi remontów i konserwacji zakładów;8
45261221-9;Malowanie dachów;8
45331231-4;Instalowanie urządzeń mrożących;8
45421147-6;Instalowanie krat;8
45432113-9;Kładzenie parkietu;8
45432130-4;Pokrywanie podłóg;8
45442000-7;Nakładanie powierzchni kryjących;8
48161000-4;Biblioteczny system zarządzania;8
48219000-6;Pakiety oprogramowania do różnych operacji sieciowych;8
48219300-9;Pakiety oprogramowania administracyjnego;8
48463000-1;Pakiety oprogramowania statystycznego;8
48613000-8;Elektroniczne zarządzanie danymi (EDM;8
48814000-7;Systemy informacji medycznej;8
50116500-6;Usługi w zakresie napraw opon, w tym pasowania i wyważania;8
50211000-7;Usługi w zakresie napraw i konserwacji statków powietrznych;8
50211310-3;Usługi w zakresie przywracania silników statków powietrznych do stanu użytkowego;8
50241200-8;Usługi w zakresie naprawy promów;8
50312610-4;Konserwacja sprzętu technologii informacji;8
50334110-9;Usługi w zakresie konserwacji sieci telefonicznej;8
50334400-9;Usługi w zakresie konserwacji systemu komunikacji;8
50830000-2;Usługi w zakresie naprawy odzieży i wyrobów włókienniczych;8
55200000-2;Pola kempingowe i inne miejsca noclegowe, inne niż hotelowe;8
60445000-9;Usługi obsługiwania statków powietrznych;8
63711000-6;Usługi dodatkowe w zakresie transportu kolejowego;8
64216000-3;Elektroniczne usługi przekazywania wiadomości i informacji;8
65500000-8;Odczyty liczników;8
66171000-9;Doradztwo finansowe;8
66515100-4;Usługi ubezpieczenia od ognia;8
71315200-1;Budowlane usługi doradcze;8
71336000-2;Dodatkowe usługi inżynieryjne;8
71351000-3;Usługi planowania geologicznego, geofizycznego i inne usługi naukowe;8
71355200-3;Wykonywanie badań;8
72150000-1;Usługi doradztwa w zakresie audytu komputerowego oraz sprzętu komputerowego;8
72212520-0;Usługi opracowywania oprogramowania multimedialnego;8
72224200-3;Usługi w zakresie planowania zapewniania jakości systemu;8
72421000-7;Usługi w zakresie rozwijania internetowych lub intranetowych aplikacji klienckich;8
75125000-8;Usługi administracyjne związane z turystyką;8
75241000-7;Usługi w zakresie bezpieczeństwa publicznego;8
77341000-2;Okrzesywanie drzew;8
79625000-1;Usługi w zakresie pozyskiwania personelu medycznego;8
79954000-6;Usługi w zakresie organizacji przyjęć;8
85141100-0;Usługi świadczone przez położne;8
85142000-6;Usługi paramedyczne;8
98113000-8;Usługi świadczone przez organizacje specjalistyczne;8
98133000-4;Usługi świadczone przez organizacje społeczne;8
03142000-8;Produkty zwierzęce;7
03221113-1;Cebula;7
03221410-3;Kapusta;7
14311100-5;Wapń naturalny;7
14700000-8;Metale zwykłe;7
15114000-0;Podroby;7
15411000-2;Oleje zwierzęce lub roślinne;7
15542200-1;Ser miękki;7
15551000-5;Jogurt i pozostałe przefermentowane przetwory mleczne;7
15612000-1;Mąka zbożowa lub roślinna i podobne produkty;7
15613300-1;Produkty zbożowe;7
15991300-4;Papierosy;7
16330000-7;Prasy do belowania słomy lub paszy;7
18224000-5;Odzież z wyrobów włókienniczych powlekanych lub impregnowanych;7
22140000-3;Ulotki;7
22213000-6;Magazyny;7
24112200-4;Tlenki azotu;7
24311500-2;Wodorotlenki, jako zasadowe chemikalia nieorganiczne;7
24313310-7;Węglan sodu;7
24315240-9;Cyjaniany;7
24500000-9;Tworzywa sztuczne w formach podstawowych;7
24615000-8;Lonty, spłonki, zapalniki i detonatory elektryczne;7
24900000-3;Produkty chemiczne wysokowartościowe i różne;7
30162000-2;Karty inteligentne;7
30191000-4;Sprzęt biurowy, z wyjątkiem mebli;7
30192112-9;Głowice barwiące do maszyn drukujących;7
30213400-9;Centralne jednostki przetwarzania danych do komputerów osobistych;7
30216000-6;Czytniki magnetyczne lub optyczne;7
30216130-6;Czytniki kodu kreskowego;7
30232130-4;Kolorowe drukarki atramentowe;7
30232150-0;Drukarki atramentowe;7
30237410-6;Myszka komputerowa;7
31121110-4;Przekształtniki mocy;7
31311000-9;Podłączenia energetyczne;7
31524120-2;Oświetlenie sufitowe;7
31532920-9;Żarówki i świetlówki;7
31682220-8;Stoły miksujące;7
31711310-9;System do rejestrowania obecności;7
32323100-4;Kolorowe monitory wideo;7
32343000-9;Wzmacniacze;7
32354100-0;Klisza radiologiczna;7
32415000-5;Sieć ethernet;7
32425000-8;Sieciowy system operacyjny;7
32520000-4;Sprzęt i kable telekomunikacyjne;7
32523000-5;Urządzenia telekomunikacyjne;7
33111200-3;Rentgenowskie stacje robocze;7
33123230-9;Kardiografy;7
33127000-6;Urządzenia do analizy immunologicznej;7
33141410-7;Przecinaki i noże chirurgiczne;7
33141642-2;Akcesoria do drenażu;7
33192150-8;Łóżka terapeutyczne;7
33192210-7;Stoły do badania;7
33192400-6;Stanowiska stomatologiczne;7
33192600-8;Sprzęt do podnoszenia dla służby zdrowia;7
33621000-9;Produkty lecznicze dla krwi oraz organów krwiotwórczych;7
33621100-0;Środki obniżające krzepliwość krwi;7
33661000-1;Produkty lecznicze dla układu nerwowego;7
33681000-7;Smoczki, osłonki na brodawki sutkowe i podobne artykuły dla niemowląt;7
33691000-0;Produkty antypasożytnicze, środki owadobójcze i odstraszające owady;7
33697000-2;Preparaty lecznicze, z wyłączeniem produktów stomatologicznych;7
34220000-5;Przyczepy, naczepy oraz cysterny samojezdne;7
34310000-3;Silniki do pojazdów i części silników;7
34522100-3;Łodzie żaglowe;7
34953000-2;Rampy wejściowe;7
35512400-0;Bezzałogowe pojazdy podwodne;7
37311300-4;Organy muzyczne;7
37414100-4;Materace do spania;7
37524000-7;Gry;7
38310000-1;Wagi precyzyjne;7
38436600-6;Homogenizatory zanurzeniowe;7
38518000-9;Mikroskopy optyczne szerokokątne, stereo lub rozcinające;7
38631000-7;Lornetki;7
38945000-7;Liczniki promieniowania gamma;7
39113200-9;Taborety;7
39151300-8;Meble modułowe;7
39221150-3;Termosy;7
39298800-5;Akwaria;7
39310000-8;Urządzenia zaopatrzeniowe;7
39340000-7;Sprzęt sieci gazowniczej;7
39541110-0;Lina;7
39560000-5;Różne wyroby włókiennicze;7
39713430-6;Odkurzacze;7
39717100-2;Wentylatory;7
42121000-3;Silniki i generatory mocy hydrauliczne lub pneumatyczne;7
42142200-8;Części elementów napędowych;7
42522000-1;Wentylatory inne niż domowe;7
42621100-6;Tokarki sterowane komputerowo;7
42716120-5;Pralki;7
42910000-8;Aparatura do destylacji, filtrowania lub rektyfikacji;7
42923000-2;Maszyny ważące i wagi;7
42942000-1;Piece i akcesoria;7
42980000-9;Generatory gazu;7
42991100-0;Maszyny introligatorskie;7
42996000-4;Maszyny do uzdatniania ścieków;7
43000000-3;Maszyny górnicze, do pracy w kamieniołomach, sprzęt budowlany;7
43328000-8;Instalacje hydrauliczne;7
43415000-5;Formy odlewnicze;7
44111300-4;Ceramika;7
44112240-2;Parkiet;7
44113810-6;Wykończenia nawierzchni;7
44191000-5;Różne drewniane materiały budowlane;7
44212230-0;Wieże;7
44212382-0;Tamy przeciwpowodziowe;7
44421700-4;Kasety i schowki;7
44511200-7;Narzędzia ogrodnicze;7
45111220-6;Roboty w zakresie usuwania gruzu;7
45112712-9;Roboty w zakresie kształtowania ogrodów;7
45213351-8;Roboty budowlane w zakresie hangarów;7
45214600-6;Roboty budowlane w zakresie budowy badawczych obiektów budowlanych;7
45215120-4;Roboty budowlane w zakresie specjalnych budynków medycznych;7
45231221-0;Roboty budowlane w zakresie gazowych sieci zasilających;7
45232431-2;Przepompownie wody odpadowej;7
45233224-5;Roboty budowlane w zakresie dróg dwupasmowych;7
45233340-4;Fundamentowanie ścieżek ruchu pieszego;7
45236290-9;Naprawa terenów rekreacyjnych;7
45248000-7;Budowa konstrukcji hydromechanicznych;7
45248400-1;Roboty budowlane w zakresie przystani;7
45251160-0;Roboty w zakresie instalacji wiatrowych;7
45312311-0;Montaż instalacji piorunochronnej;7
45315200-0;Roboty w zakresie turbin;7
45316211-7;Instalowanie podświetlanych znaków drogowych;7
45324000-4;Roboty w zakresie okładziny tynkowej;7
48170000-0;Pakiety oprogramowania zapewniające zgodność;7
48219500-1;Pakiety oprogramowania do switcha lub routera;7
48219700-3;Pakiety oprogramowania do serwera komunikacyjnego;7
48224000-4;Pakiety oprogramowania do edycji stron WWW;7
48312000-8;Pakiety oprogramowania do publikowania elektronicznego;7
48317000-3;Pakiety oprogramowania do pisania tekstów;7
48445000-9;Pakiety oprogramowania do zarządzania relacjami z klientami;7
48490000-9;Pakiety oprogramowania do zamówień;7
48500000-3;Pakiety oprogramowania komunikacyjnego i multimedialnego;7
48515000-1;Pakiety oprogramowania do wideokonferencji;7
48518000-2;Pakiety oprogramowania emulującego;7
50220000-3;Usługi w zakresie napraw i konserwacji oraz podobne usługi dotyczące kolei i innego sprzętu;7
50312600-1;Konserwacja i naprawa sprzętu technologii informacji;7
50316000-3;Konserwacja i naprawa maszyn do wydawania biletów;7
50331000-4;Usługi w zakresie napraw i konserwacji linii telekomunikacyjnych;7
50344000-8;Usługi w zakresie napraw i konserwacji urządzeń optycznych;7
50531000-6;Usługi w zakresie napraw i konserwacji maszyn nieelektrycznych;7
50532400-7;Usługi w zakresie napraw i konserwacji elektrycznego sprzętu przesyłowego;7
51135000-7;Usługi instalowania pieców;7
51511400-1;Usługi instalowania specjalnych systemów przesyłowych;7
51611100-9;Usługi instalowania urządzeń komputerowych;7
55900000-9;Usługi handlu detalicznego;7
63712100-4;Usługi w zakresie obsługi dworców i przystanków autobusowych;7
65300000-6;Przesył energii elektrycznej i podobne usługi;7
71315210-4;Usługi doradcze w zakresie budownictwa;7
72212500-4;Usługi opracowywania oprogramowania komunikacyjnego i multimedialnego;7
72500000-0;Komputerowe usługi pokrewne;7
72610000-9;Usługi dodatkowe w zakresie sprzętu komputerowego;7
75000000-6;Usługi administracji publicznej, obrony i zabezpieczenia socjalnego;7
75124000-1;Usługi administracyjne w zakresie rekreacji, kultury i religii;7
77220000-8;Usługi impregnacji drewna;7
77231900-7;Usługi sektorowego planowania lasów;7
79341200-8;Usługi zarządzania reklamą;7
79631000-6;Usługi dotyczące personelu i listy płac;7
79715000-9;Usługi patrolowe;7
80533000-9;Usługi zapoznawania użytkownika z obsługa komputera i usługi szkoleniowe;7
90513500-1;Usługi uzdatniania oraz wywozu cieczy ściekowych;7
90711000-4;Ocena oddziaływań na środowisko innych niż powodowanych przez branżę budowlaną;7
90721100-8;Usługi ochrony krajobrazu;7
90731000-0;Usługi związane z zanieczyszczeniem powietrza;7
92122000-2;Usługi dystrybucji filmów;7
92512000-3;Usługi świadczone przez archiwa;7
98340000-8;Usługi miejsc noclegowych oraz biur;7
98363000-5;Usługi nurkowe;7
03111200-4;Orzeszki ziemne;6
03121200-7;Kwiaty cięte;6
03222300-6;Owoce inne niż tropikalne;6
03222330-5;Owoce pestkowe;6
03320000-8;Bydło, zwierzęta gospodarskie i małe zwierzęta;6
03321000-5;Bydło;6
14630000-6;Żużel, popioły, odpady żelaza i złom;6
14720000-4;Glin, nikiel, skand, tytan i wanad;6
15331500-2;Warzywa konserwowane w occie;6
15332290-3;Dżemy;6
15555100-4;Lody;6
15863000-5;Herbata;6
15871000-4;"Ocet; sosy; mieszanki przypraw; mąka i mączka z gorczycy; gotowa musztarda";6
16340000-0;Maszyny żniwne i młockarki;6
18140000-2;Dodatki do odzieży roboczej;6
18222100-2;Zestawy ubraniowe;6
18223200-0;Kurtki;6
18411000-3;Odzież niemowlęca;6
18425000-4;Paski;6
19512000-8;Wyroby z gumy niewulkanizowanej;6
22455000-4;Dowody tożsamości;6
22460000-2;Handlowe materiały reklamowe, handlowe katalogi i przewodniki;6
22815000-6;Notatniki;6
22993200-9;Papier termoczuły lub tektura;6
24112000-2;Nieorganiczne związki tlenu;6
24112100-3;Ditlenek węgla;6
24311160-6;Krzemki;6
24312200-6;Podchloryny i chlorany;6
24324100-2;Związki z aminową grupą funkcyjną;6
24520000-5;Polimery propylenu w formach podstawowych;6
30123000-7;Maszyny biurowe i przemysłowe;6
30191140-7;Akcesoria do identyfikacji osób;6
31155000-7;Falowniki;6
31224810-3;Przedłużacze;6
31300000-9;Drut i kabel izolowany;6
31527300-9;Oświetlenie domowe;6
31531000-7;Żarówki;6
31531100-8;Żarówki oświetleniowe;6
31532910-6;Świetlówki;6
31642000-8;Elektroniczna aparatura do wykrywania;6
32224000-9;Telewizyjna aparatura nadawcza;6
32344000-6;Aparatura odbiorcza do radiotelefonii lub radiotelegrafii;6
32353000-2;Nagrania dźwiękowe;6
32353100-3;Płyty;6
32426000-5;Sieciowy system publikacji;6
32441100-7;Telemetryczny system nadzoru;6
32534000-5;Platformy satelitarne;6
32571000-6;Infrastruktura komunikacyjna;6
32581200-1;Urządzenia faksowe;6
33141500-5;Produkty hematologiczne;6
33158100-3;Urządzenia elektromagnetyczne;6
33166000-1;Przyrządy dermatologiczne;6
33169400-6;Pojemniki chirurgiczne;6
33182210-4;Rozruszniki serca;6
33185100-1;Części i akcesoria do aparatów słuchowych;6
33198100-5;Okłady papierowe;6
33641000-5;Produkty lecznicze dla układu moczowo-płciowego oraz hormonów płciowych;6
33661200-3;Środki przeciwbólowe;6
34144700-5;Pojazdy użyteczności publicznej;6
34411200-3;Opony do motocykli;6
34516000-7;Odbijacze;6
34611000-3;Lokomotywy;6
34711400-8;Statki powietrzne specjalnego zastosowania;6
34991000-0;Reflektory iluminacyjne;6
34996100-6;Sygnalizatory drogowe;6
35113430-2;Kamizelki bezpieczeństwa;6
